datasiz_id,datasiz_title,datasiz_alts
,Accounting ,"Accounting, Accounts"
,Architecture,Architecture
,Arts & Crafts,"Arts, Crafts"
,Automotive,Automotive
,Aviation,"Airlines, Aviation, Aerospace"
,Banking,Banking
,Cosmetics,Cosmetics
,Dairy,Dairy
,Defense,"Defense, Army"
,Education,"Education, School, College, University"
,Fashion,Fashion
,Food,"Food, Beverages"
,Gambling,"Gambling, Casinos"
,Government,"Government, Govt"
,Health Care,"Health Care, Hospital"
,Information Technology,"Information Technology, IT, Software"
,Music,Music
,Production,Production
,Real Estate,Real Estate
,Telecommunications,"Telecom, Telecommunications"
,Textiles,Textiles
